ticker,status,start_date,last_date,total_rows,days_lag,logic_errors,zeros,nans,note
TIP,OK,2003-12-05,2025-11-21,5527,2,0,0,0,
VIX6M,OK,2008-01-02,2025-11-21,4503,2,0,0,0,
STIP,OK,2010-12-03,2025-11-21,3766,2,0,0,0,
TLT,OK,2002-07-30,2025-11-21,5869,2,0,0,0,
VCSH,OK,2009-11-23,2025-11-21,4025,2,0,0,0,
IAGG,OK,2015-11-12,2025-11-21,2522,2,0,0,0,
RVX,OK,2004-01-02,2025-11-20,5710,3,0,0,0,
AOR,OK,2008-11-19,2025-11-21,4279,2,0,0,0,
SPY,OK,1993-01-29,2025-11-21,8262,2,0,0,0,
GBF,OK,2007-01-11,2025-11-21,4748,2,0,0,0,
SHY,OK,2002-07-30,2025-11-21,5869,2,0,0,0,
VIX9D,OK,2011-01-03,2025-11-21,3746,2,0,0,0,
JPHY,OK,2025-06-25,2025-11-21,106,2,0,0,0,
ITOT,OK,2004-01-23,2025-11-21,5495,2,0,0,0,
BND,OK,2007-04-10,2025-11-21,4688,2,0,0,0,
EDV,OK,2008-01-29,2025-11-21,4485,2,0,0,0,
VIX,OK,1990-01-02,2025-11-21,9041,2,0,0,0,
HYG,OK,2007-04-11,2025-11-21,4687,2,0,0,0,
IEI,OK,2007-01-11,2025-11-21,4748,2,0,0,0,
SPYM,OK,2005-11-15,2025-11-21,5037,2,0,0,0,
GOVT,OK,2012-02-24,2025-11-21,3458,2,0,0,0,
CWB,OK,2009-04-16,2025-11-21,4179,2,0,0,0,
VOO,OK,2010-09-09,2025-11-21,3826,2,0,0,0,
LQD,OK,2002-07-30,2025-11-21,5869,2,0,0,0,
EMB,OK,2007-12-19,2025-11-21,4511,2,0,0,0,
BITO,OK,2021-10-20,2025-11-21,1028,2,0,0,0,
VCLT,OK,2009-11-23,2025-11-21,4025,2,0,0,0,
BTC,OK,2014-09-17,2025-11-24,4086,-1,0,0,0,
BWX,OK,2007-10-11,2025-11-21,4559,2,0,0,0,
AGGY,OK,2015-07-09,2025-11-21,2611,2,0,0,0,
IGOV,OK,2009-01-30,2025-11-21,4231,2,0,0,0,
EMLC,OK,2010-07-23,2025-11-21,3859,2,0,0,0,
SGOV,OK,2020-06-01,2025-11-21,1379,2,0,0,0,
FLOT,OK,2011-06-17,2025-11-21,3631,2,0,0,0,
QQQM,OK,2020-10-13,2025-11-21,1285,2,0,0,0,
VIX3M,OK,2006-07-17,2025-11-21,4871,2,0,0,0,
IBIT,OK,2024-01-11,2025-11-21,469,2,0,0,0,
AGG,OK,2003-09-29,2025-11-21,5575,2,0,0,0,
VIX1D,OK,2023-04-24,2025-11-21,650,2,0,0,0,
IEF,OK,2002-07-30,2025-11-21,5869,2,0,0,0,
VXUS,OK,2011-01-28,2025-11-21,3728,2,0,0,0,
VXN,OK,2001-01-23,2025-11-21,6247,2,0,0,0,
IGIB,OK,2007-01-11,2025-11-21,4748,2,0,0,0,
SCHG,OK,2010-01-04,2025-11-21,3998,2,0,0,0,
EQWL,OK,2006-12-01,2025-11-21,4774,2,0,0,0,
SJNK,OK,2012-04-09,2025-11-21,3428,2,0,0,0,
IGF,OK,2007-12-12,2025-11-21,4516,2,0,0,0,
JNK,OK,2007-12-04,2025-11-21,4522,2,0,0,0,
