Date,Commodity_Index_Proxy,Commodity_ETF_Actual
1986-12-31,863.89,
1987-01-31,913.31,
1987-02-28,858.47,
1987-03-31,927.82,
1987-04-30,974.43,
1987-05-31,1019.42,
1987-06-30,1055.85,
1987-07-31,1102.97,
1987-08-31,1080.63,
1987-09-30,1088.6,
1987-10-31,1100.05,
1987-11-30,1099.8199,
1987-12-31,1069.27,
1988-01-31,1097.6899,
1988-02-29,1085.5601,
1988-03-31,1140.29,
1988-04-30,1175.63,
1988-05-31,1217.15,
1988-06-30,1183.15,
1988-07-31,1190.15,
1988-08-31,1182.11,
1988-09-30,1149.83,
1988-10-31,1205.49,
1988-11-30,1274.76,
1988-12-31,1367.97,
1989-01-31,1373.6,
1989-02-28,1432.6801,
1989-03-31,1529.34,
1989-04-30,1577.91,
1989-05-31,1557.74,
1989-06-30,1612.21,
1989-07-31,1566.91,
1989-08-31,1621.35,
1989-09-30,1717.92,
1989-10-31,1705.83,
1989-11-30,1733.35,
1989-12-31,1891.64,
1990-01-31,1883.36,
1990-02-28,1877.21,
1990-03-31,1890.95,
1990-04-30,1871.12,
1990-05-31,1857.3,
1990-06-30,1828.55,
1990-07-31,1979.47,
1990-08-31,2307.8501,
1990-09-30,2837.27,
1990-10-31,2665.5701,
1990-11-30,2490.6001,
1990-12-31,2441.6799,
1991-01-31,2212.4629,
1991-02-28,2243.2271,
1991-03-31,2327.666,
1991-04-30,2380.3889,
1991-05-31,2379.1699,
1991-06-30,2322.834,
1991-07-31,2441.4319,
1991-08-31,2479.072,
1991-09-30,2498.6379,
1991-10-31,2570.3069,
1991-11-30,2466.4929,
1991-12-31,2291.8999,
1992-01-31,2354.905,
1992-02-29,2329.082,
1992-03-31,2355.1111,
1992-04-30,2425.6799,
1992-05-31,2490.8521,
1992-06-30,2477.1211,
1992-07-31,2442.603,
1992-08-31,2445.156,
1992-09-30,2473.1931,
1992-10-31,2418.814,
1992-11-30,2387.884,
1992-12-31,2393.26,
1993-01-31,2422.2781,
1993-02-28,2450.4199,
1993-03-31,2501.49,
1993-04-30,2474.6121,
1993-05-31,2405.752,
1993-06-30,2330.4619,
1993-07-31,2310.312,
1993-08-31,2329.3311,
