,Credit_Index_Proxy,Credit_ETF_Actual
1987-01-31,356.88,
1987-02-28,359.47,
1987-03-31,357.56,
1987-04-30,346.5,
1987-05-31,344.37,
1987-06-30,349.72,
1987-07-31,347.97,
1987-08-31,345.18,
1987-09-30,336.77,
1987-10-31,346.77,
1987-11-30,352.43,
1987-12-31,357.67,
1988-01-31,371.37,
1988-02-29,377.61,
1988-03-31,373.31,
1988-04-30,369.61,
1988-05-31,366.81,
1988-06-30,376.66,
1988-07-31,376.38,
1988-08-31,378.88,
1988-09-30,387.49,
1988-10-31,393.74,
1988-11-30,390.86,
1988-12-31,392.57,
1989-01-31,398.0,
1989-02-28,395.42,
1989-03-31,397.63,
1989-04-30,404.88,
1989-05-31,417.3,
1989-06-30,430.18,
1989-07-31,438.44,
1989-08-31,432.73,
1989-09-30,434.91,
1989-10-31,443.91,
1989-11-30,446.53,
1989-12-31,447.98,
1990-01-31,441.52,
1990-02-28,443.38,
1990-03-31,444.85,
1990-04-30,439.83,
1990-05-31,451.99,
1990-06-30,459.58,
1990-07-31,465.58,
1990-08-31,457.3,
1990-09-30,459.24,
1990-10-31,463.02,
1990-11-30,472.62,
1990-12-31,481.0,
1991-01-31,486.44,
1991-02-28,492.63,
1991-03-31,499.01,
1991-04-30,505.92,
1991-05-31,510.31,
1991-06-30,509.93,
1991-07-31,516.68,
1991-08-31,528.89,
1991-09-30,540.06,
1991-10-31,545.41,
1991-11-30,550.35,
1991-12-31,568.73,
1992-01-31,561.97,
1992-02-29,565.69,
1992-03-31,565.22,
1992-04-30,568.77,
1992-05-31,580.83,
1992-06-30,589.99,
1992-07-31,605.45,
1992-08-31,611.24,
1992-09-30,619.03,
1992-10-31,610.07,
1992-11-30,610.49,
1992-12-31,620.59,
1993-01-31,634.09,
1993-02-28,647.81,
1993-03-31,652.31,
1993-04-30,656.95,
1993-05-31,657.78,
1993-06-30,672.5,
1993-07-31,677.23,
1993-08-31,694.61,
1993-09-30,698.45,
1993-10-31,702.32,
1993-11-30,693.36,
1993-12-31,697.73,
1994-01-31,709.45,
1994-02-28,693.38,
1994-03-31,676.19,
1994-04-30,669.14,
1994-05-31,667.77,
1994-06-30,666.63,
1994-07-31,680.04,
1994-08-31,681.16,
1994-09-30,670.19,
1994-10-31,668.81,
1994-11-30,668.34,
1994-12-31,674.41,
1995-01-31,687.28,
1995-02-28,703.76,
1995-03-31,711.87,
1995-04-30,722.83,
1995-05-31,757.07,
1995-06-30,763.91,
1995-07-31,760.17,
1995-08-31,771.44,
1995-09-30,780.32,
1995-10-31,792.21,
1995-11-30,806.28,
1995-12-31,819.75,
1996-01-31,824.38,
1996-02-29,805.11,
1996-03-31,799.46,
1996-04-30,792.37,
1996-05-31,791.66,
1996-06-30,802.63,
1996-07-31,804.52,
1996-08-31,802.07,
1996-09-30,818.31,
1996-10-31,840.36,
1996-11-30,858.93,
1996-12-31,847.54,
1997-01-31,848.74,
1997-02-28,850.91,
1997-03-31,840.28,
1997-04-30,853.87,
1997-05-31,861.69,
1997-06-30,874.89,
1997-07-31,907.26,
1997-08-31,893.86,
1997-09-30,910.16,
1997-10-31,923.06,
1997-11-30,925.84,
1997-12-31,935.57,
1998-01-31,947.91,
1998-02-28,946.47,
1998-03-31,951.17,
1998-04-30,956.03,
1998-05-31,968.12,
1998-06-30,976.47,
1998-07-31,975.67,
1998-08-31,977.06,
1998-09-30,1007.41,
1998-10-31,995.78,
1998-11-30,1011.14,
1998-12-31,1017.16,
1999-01-31,1027.55,
1999-02-28,1001.24,
1999-03-31,1010.34,
1999-04-30,1013.85,
1999-05-31,999.18,
1999-06-30,994.25,
1999-07-31,988.44,
1999-08-31,985.9,
1999-09-30,997.08,
1999-10-31,1000.18,
1999-11-30,1001.56,
1999-12-31,997.97,
2000-01-31,994.63,
2000-02-29,1002.33,
2000-03-31,1013.44,
