DATE,Open,High,Low,Close,Adj Close,Volume
2004-01-02,23.04,23.04,23.04,23.04,23.04,0.0
2004-01-05,21.04,21.04,21.04,21.04,21.04,0.0
2004-01-06,19.42,19.42,19.42,19.42,19.42,0.0
2004-01-07,17.73,17.73,17.73,17.73,17.73,0.0
2004-01-08,20.12,20.12,20.12,20.12,20.12,0.0
2004-01-09,21.53,21.53,21.53,21.53,21.53,0.0
2004-01-12,21.09,21.09,21.09,21.09,21.09,0.0
2004-01-13,21.82,21.82,21.82,21.82,21.82,0.0
2004-01-14,21.73,21.73,21.73,21.73,21.73,0.0
2004-01-15,21.05,21.05,21.05,21.05,21.05,0.0
2004-01-16,19.6,19.6,19.6,19.6,19.6,0.0
2004-01-19,19.6,19.6,19.6,19.6,19.6,0.0
2004-01-20,21.29,21.29,21.29,21.29,21.29,0.0
2004-01-21,21.12,21.12,21.12,21.12,21.12,0.0
2004-01-22,21.3,21.3,21.3,21.3,21.3,0.0
2004-01-23,20.22,20.22,20.22,20.22,20.22,0.0
2004-01-26,20.07,20.07,20.07,20.07,20.07,0.0
2004-01-27,21.46,21.46,21.46,21.46,21.46,0.0
2004-01-28,23.24,23.24,23.24,23.24,23.24,0.0
2004-01-29,23.52,23.52,23.52,23.52,23.52,0.0
2004-01-30,22.5,22.5,22.5,22.5,22.5,0.0
2004-02-02,23.05,23.05,23.05,23.05,23.05,0.0
2004-02-03,23.54,23.54,23.54,23.54,23.54,0.0
2004-02-04,24.77,24.77,24.77,24.77,24.77,0.0
2004-02-05,24.51,24.51,24.51,24.51,24.51,0.0
2004-02-06,22.7,22.7,22.7,22.7,22.7,0.0
2004-02-09,23.77,23.77,23.77,23.77,23.77,0.0
2004-02-10,22.93,22.93,22.93,22.93,22.93,0.0
2004-02-11,22.77,22.77,22.77,22.77,22.77,0.0
2004-02-12,23.16,23.16,23.16,23.16,23.16,0.0
2004-02-13,23.92,23.92,23.92,23.92,23.92,0.0
2004-02-16,23.92,23.92,23.92,23.92,23.92,0.0
2004-02-17,24.2,24.2,24.2,24.2,24.2,0.0
2004-02-18,24.57,24.57,24.57,24.57,24.57,0.0
2004-02-19,24.34,24.34,24.34,24.34,24.34,0.0
2004-02-20,24.3,24.3,24.3,24.3,24.3,0.0
2004-02-23,25.07,25.07,25.07,25.07,25.07,0.0
2004-02-24,24.34,24.34,24.34,24.34,24.34,0.0
2004-02-25,23.41,23.41,23.41,23.41,23.41,0.0
2004-02-26,22.57,22.57,22.57,22.57,22.57,0.0
2004-02-27,21.87,21.87,21.87,21.87,21.87,0.0
2004-03-01,21.89,21.89,21.89,21.89,21.89,0.0
2004-03-02,22.34,22.34,22.34,22.34,22.34,0.0
2004-03-03,22.43,22.43,22.43,22.43,22.43,0.0
2004-03-04,21.75,21.75,21.75,21.75,21.75,0.0
2004-03-05,21.34,21.34,21.34,21.34,21.34,0.0
2004-03-08,22.63,22.63,22.63,22.63,22.63,0.0
2004-03-09,23.3,23.3,23.3,23.3,23.3,0.0
2004-03-10,24.74,24.74,24.74,24.74,24.74,0.0
2004-03-11,26.11,26.11,26.11,26.11,26.11,0.0
2004-03-12,24.48,24.48,24.48,24.48,24.48,0.0
2004-03-15,27.57,27.57,27.57,27.57,27.57,0.0
2004-03-16,26.94,26.94,26.94,26.94,26.94,0.0
2004-03-17,25.62,25.62,25.62,25.62,25.62,0.0
2004-03-18,25.88,25.88,25.88,25.88,25.88,0.0
2004-03-19,25.78,25.78,25.78,25.78,25.78,0.0
2004-03-22,26.05,26.05,26.05,26.05,26.05,0.0
2004-03-23,24.94,24.94,24.94,24.94,24.94,0.0
2004-03-24,26.44,26.44,26.44,26.44,26.44,0.0
2004-03-25,25.03,25.03,25.03,25.03,25.03,0.0
2004-03-26,24.26,24.26,24.26,24.26,24.26,0.0
2004-03-29,23.62,23.62,23.62,23.62,23.62,0.0
2004-03-30,23.46,23.46,23.46,23.46,23.46,0.0
2004-03-31,23.65,23.65,23.65,23.65,23.65,0.0
2004-04-01,23.59,23.59,23.59,23.59,23.59,0.0
2004-04-02,21.93,21.93,21.93,21.93,21.93,0.0
2004-04-05,22.13,22.13,22.13,22.13,22.13,0.0
2004-04-06,22.55,22.55,22.55,22.55,22.55,0.0
2004-04-07,22.24,22.24,22.24,22.24,22.24,0.0
2004-04-08,22.65,22.65,22.65,22.65,22.65,0.0
2004-04-09,22.65,22.65,22.65,22.65,22.65,0.0
2004-04-12,22.66,22.66,22.66,22.66,22.66,0.0
2004-04-13,24.44,24.44,24.44,24.44,24.44,0.0
2004-04-14,24.29,24.29,24.29,24.29,24.29,0.0
2004-04-15,24.12,24.12,24.12,24.12,24.12,0.0
2004-04-16,23.59,23.59,23.59,23.59,23.59,0.0
2004-04-19,22.66,22.66,22.66,22.66,22.66,0.0
2004-04-20,23.57,23.57,23.57,23.57,23.57,0.0
2004-04-21,22.74,22.74,22.74,22.74,22.74,0.0
2004-04-22,21.57,21.57,21.57,21.57,21.57,0.0
2004-04-23,21.51,21.51,21.51,21.51,21.51,0.0
2004-04-26,22.46,22.46,22.46,22.46,22.46,0.0
2004-04-27,22.45,22.45,22.45,22.45,22.45,0.0
2004-04-28,23.84,23.84,23.84,23.84,23.84,0.0
2004-04-29,24.83,24.83,24.83,24.83,24.83,0.0
2004-04-30,25.41,25.41,25.41,25.41,25.41,0.0
2004-05-03,25.43,25.43,25.43,25.43,25.43,0.0
2004-05-04,24.57,24.57,24.57,24.57,24.57,0.0
2004-05-05,24.13,24.13,24.13,24.13,24.13,0.0
2004-05-06,25.69,25.69,25.69,25.69,25.69,0.0
2004-05-07,26.87,26.87,26.87,26.87,26.87,0.0
2004-05-10,28.81,28.81,28.81,28.81,28.81,0.0
2004-05-11,28.33,28.33,28.33,28.33,28.33,0.0
2004-05-12,28.95,28.95,28.95,28.95,28.95,0.0
2004-05-13,29.81,29.81,29.81,29.81,29.81,0.0
2004-05-14,29.81,29.81,29.81,29.81,29.81,0.0
2004-05-17,32.61,32.61,32.61,32.61,32.61,0.0
2004-05-18,30.2,30.2,30.2,30.2,30.2,0.0
2004-05-19,30.5,30.5,30.5,30.5,30.5,0.0
2004-05-20,29.87,29.87,29.87,29.87,29.87,0.0
2004-05-21,28.43,28.43,28.43,28.43,28.43,0.0
2004-05-24,26.49,26.49,26.49,26.49,26.49,0.0
2004-05-25,24.42,24.42,24.42,24.42,24.42,0.0
2004-05-26,23.86,23.86,23.86,23.86,23.86,0.0
2004-05-27,23.49,23.49,23.49,23.49,23.49,0.0
2004-05-28,23.49,23.49,23.49,23.49,23.49,0.0
2004-05-31,23.49,23.49,23.49,23.49,23.49,0.0
2004-06-01,24.49,24.49,24.49,24.49,24.49,0.0
2004-06-02,24.66,24.66,24.66,24.66,24.66,0.0
2004-06-03,25.56,25.56,25.56,25.56,25.56,0.0
2004-06-04,24.87,24.87,24.87,24.87,24.87,0.0
2004-06-07,23.96,23.96,23.96,23.96,23.96,0.0
2004-06-08,23.5,23.5,23.5,23.5,23.5,0.0
2004-06-09,24.12,24.12,24.12,24.12,24.12,0.0
2004-06-10,23.77,23.77,23.77,23.77,23.77,0.0
2004-06-11,23.77,23.77,23.77,23.77,23.77,0.0
2004-06-14,25.55,25.55,25.55,25.55,25.55,0.0
2004-06-15,24.32,24.32,24.32,24.32,24.32,0.0
2004-06-16,23.89,23.89,23.89,23.89,23.89,0.0
2004-06-17,24.07,24.07,24.07,24.07,24.07,0.0
2004-06-18,23.7,23.7,23.7,23.7,23.7,0.0
2004-06-21,23.37,23.37,23.37,23.37,23.37,0.0
2004-06-22,22.09,22.09,22.09,22.09,22.09,0.0
2004-06-23,21.51,21.51,21.51,21.51,21.51,0.0
2004-06-24,21.62,21.62,21.62,21.62,21.62,0.0
2004-06-25,21.31,21.31,21.31,21.31,21.31,0.0
2004-06-28,22.14,22.14,22.14,22.14,22.14,0.0
2004-06-29,21.69,21.69,21.69,21.69,21.69,0.0
2004-06-30,21.27,21.27,21.27,21.27,21.27,0.0
2004-07-01,21.67,21.67,21.67,21.67,21.67,0.0
2004-07-02,21.45,21.45,21.45,21.45,21.45,0.0
2004-07-05,21.45,21.45,21.45,21.45,21.45,0.0
2004-07-06,23.3,23.3,23.3,23.3,23.3,0.0
2004-07-07,23.11,23.11,23.11,23.11,23.11,0.0
2004-07-08,23.56,23.56,23.56,23.56,23.56,0.0
2004-07-09,22.7,22.7,22.7,22.7,22.7,0.0
2004-07-12,22.6,22.6,22.6,22.6,22.6,0.0
2004-07-13,22.29,22.29,22.29,22.29,22.29,0.0
2004-07-14,22.39,22.39,22.39,22.39,22.39,0.0
2004-07-15,22.28,22.28,22.28,22.28,22.28,0.0
2004-07-16,22.17,22.17,22.17,22.17,22.17,0.0
2004-07-19,22.18,22.18,22.18,22.18,22.18,0.0
2004-07-20,21.39,21.39,21.39,21.39,21.39,0.0
2004-07-21,23.15,23.15,23.15,23.15,23.15,0.0
2004-07-22,23.64,23.64,23.64,23.64,23.64,0.0
2004-07-23,23.62,23.62,23.62,23.62,23.62,0.0
2004-07-26,24.7,24.7,24.7,24.7,24.7,0.0
2004-07-27,23.85,23.85,23.85,23.85,23.85,0.0
2004-07-28,23.91,23.91,23.91,23.91,23.91,0.0
2004-07-29,23.08,23.08,23.08,23.08,23.08,0.0
2004-07-30,23.0,23.0,23.0,23.0,23.0,0.0
2004-08-02,23.46,23.46,23.46,23.46,23.46,0.0
2004-08-03,23.62,23.62,23.62,23.62,23.62,0.0
2004-08-04,23.75,23.75,23.75,23.75,23.75,0.0
2004-08-05,24.82,24.82,24.82,24.82,24.82,0.0
2004-08-06,26.0,26.0,26.0,26.0,26.0,0.0
2004-08-09,26.23,26.23,26.23,26.23,26.23,0.0
2004-08-10,24.83,24.83,24.83,24.83,24.83,0.0
2004-08-11,25.19,25.19,25.19,25.19,25.19,0.0
2004-08-12,26.08,26.08,26.08,26.08,26.08,0.0
2004-08-13,25.91,25.91,25.91,25.91,25.91,0.0
2004-08-16,26.1,26.1,26.1,26.1,26.1,0.0
2004-08-17,25.4,25.4,25.4,25.4,25.4,0.0
2004-08-18,24.08,24.08,24.08,24.08,24.08,0.0
2004-08-19,25.03,25.03,25.03,25.03,25.03,0.0
2004-08-20,23.88,23.88,23.88,23.88,23.88,0.0
2004-08-23,23.99,23.99,23.99,23.99,23.99,0.0
2004-08-24,23.7,23.7,23.7,23.7,23.7,0.0
2004-08-25,22.83,22.83,22.83,22.83,22.83,0.0
2004-08-26,23.2,23.2,23.2,23.2,23.2,0.0
2004-08-27,22.08,22.08,22.08,22.08,22.08,0.0
2004-08-30,23.12,23.12,23.12,23.12,23.12,0.0
2004-08-31,23.0,23.0,23.0,23.0,23.0,0.0
2004-09-01,22.52,22.52,22.52,22.52,22.52,0.0
2004-09-02,22.0,22.0,22.0,22.0,22.0,0.0
2004-09-03,21.71,21.71,21.71,21.71,21.71,0.0
2004-09-06,21.71,21.71,21.71,21.71,21.71,0.0
2004-09-07,22.21,22.21,22.21,22.21,22.21,0.0
2004-09-08,22.66,22.66,22.66,22.66,22.66,0.0
2004-09-09,21.87,21.87,21.87,21.87,21.87,0.0
2004-09-10,21.33,21.33,21.33,21.33,21.33,0.0
2004-09-13,21.17,21.17,21.17,21.17,21.17,0.0
2004-09-14,21.52,21.52,21.52,21.52,21.52,0.0
2004-09-15,21.29,21.29,21.29,21.29,21.29,0.0
2004-09-16,20.77,20.77,20.77,20.77,20.77,0.0
2004-09-17,20.71,20.71,20.71,20.71,20.71,0.0
2004-09-20,20.72,20.72,20.72,20.72,20.72,0.0
2004-09-21,19.96,19.96,19.96,19.96,19.96,0.0
2004-09-22,20.55,20.55,20.55,20.55,20.55,0.0
2004-09-23,20.7,20.7,20.7,20.7,20.7,0.0
2004-09-24,20.3,20.3,20.3,20.3,20.3,0.0
2004-09-27,21.38,21.38,21.38,21.38,21.38,0.0
2004-09-28,20.22,20.22,20.22,20.22,20.22,0.0
2004-09-29,19.47,19.47,19.47,19.47,19.47,0.0
2004-09-30,19.61,19.61,19.61,19.61,19.61,0.0
2004-10-01,18.67,18.67,18.67,18.67,18.67,0.0
2004-10-04,19.23,19.23,19.23,19.23,19.23,0.0
2004-10-05,19.75,19.75,19.75,19.75,19.75,0.0
2004-10-06,19.42,19.42,19.42,19.42,19.42,0.0
2004-10-07,20.52,20.52,20.52,20.52,20.52,0.0
2004-10-08,20.85,20.85,20.85,20.85,20.85,0.0
2004-10-11,20.42,20.42,20.42,20.42,20.42,0.0
2004-10-12,21.19,21.19,21.19,21.19,21.19,0.0
2004-10-13,21.68,21.68,21.68,21.68,21.68,0.0
2004-10-14,22.8,22.8,22.8,22.8,22.8,0.0
2004-10-15,21.82,21.82,21.82,21.82,21.82,0.0
2004-10-18,21.27,21.27,21.27,21.27,21.27,0.0
2004-10-19,21.55,21.55,21.55,21.55,21.55,0.0
2004-10-20,21.08,21.08,21.08,21.08,21.08,0.0
2004-10-21,20.2,20.2,20.2,20.2,20.2,0.0
2004-10-22,21.27,21.27,21.27,21.27,21.27,0.0
2004-10-25,22.56,22.56,22.56,22.56,22.56,0.0
2004-10-26,22.0,22.0,22.0,22.0,22.0,0.0
2004-10-27,21.55,21.55,21.55,21.55,21.55,0.0
